Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After,Fraud/Not
Online,1325,29526,28201,3076,4401,No
Online,5806,35393,29587,31092,36898,No
Chip,705,67067,66362,60800,61505,Yes
Online,3174,72663,69490,74886,78060,Yes
Swipe,1847,10295,8448,28382,30228,Yes
Chip,1499,46579,45080,1248,2746,Yes
Online,5131,27068,21937,76385,81516,Yes
Chip,3992,74755,70763,31350,35341,No
Swipe,6459,48925,42466,45317,51776,No
Swipe,9736,73299,63563,96064,105800,No
Chip,8886,52842,43956,72827,81713,No
Chip,3438,17813,14375,23987,27425,Yes
Swipe,2034,46246,44212,93199,95233,No
Online,6546,92170,85623,58501,65047,Yes
Online,8870,12227,3357,38996,47866,No
Online,7097,40827,33730,31237,38334,Yes
Swipe,6336,99152,92816,76842,83178,Yes
Swipe,750,6630,5880,30284,31034,Yes
Online,9745,88120,78375,52973,62718,Yes
Swipe,7499,39729,32230,19156,26655,No
Online,2772,17477,14705,15288,18060,Yes
Chip,5148,15541,10393,19297,24444,No
Swipe,9554,93513,83959,39314,48868,No
Swipe,1182,2188,1006,59648,60830,Yes
Online,1021,31964,30943,92670,93691,Yes
Online,1903,85710,83807,3621,5524,No
Chip,1090,35009,33919,63711,64801,No
Swipe,4127,77976,73848,12484,16612,Yes
Online,884,94520,93635,80911,81796,No
Chip,22,44327,44305,28761,28783,Yes
Online,391,71352,70962,67039,67430,No
Online,858,74181,73324,324,1182,No
Online,7039,54179,47140,88004,95044,Yes
Chip,8023,23114,15091,37056,45079,No
Chip,2358,20633,18275,69099,71457,Yes
Swipe,4212,87935,83722,61198,65410,No
Chip,5007,15585,10579,73369,78376,No
Swipe,2956,12627,9672,37329,40285,Yes
Swipe,1466,83324,81858,35984,37449,Yes
Chip,9137,98792,89655,27149,36286,No
Chip,5545,24080,18535,93655,99200,Yes
Chip,3905,57507,53602,2329,6234,Yes
Swipe,5041,25307,20266,1375,6416,Yes
Chip,4553,26389,21836,64592,69145,No
Swipe,8543,63424,54881,18003,26547,No
Chip,3840,44350,40510,97130,100970,No
Online,9770,44831,35061,6118,15888,No
Online,1474,66827,65353,97191,98665,No
Chip,2999,62554,59555,86855,89854,No
Swipe,8217,32900,24683,41670,49887,Yes
Online,1915,86864,84949,85330,87245,No
Online,8641,79667,71026,90479,99120,Yes
Online,5186,28179,22993,68243,73429,No
Swipe,8615,51667,43052,40298,48913,No
Chip,3392,76318,72925,58626,62018,No
Swipe,1543,72251,70708,44870,46413,No
Online,8592,46821,38229,25659,34251,No
Swipe,1612,62770,61158,32479,34091,Yes
Swipe,1991,14011,12020,26217,28209,Yes
Swipe,6763,46132,39369,96110,102872,No
Swipe,7721,42680,34958,53308,61030,No
Chip,1319,36681,35362,92122,93441,No
Online,2271,30383,28112,60706,62976,Yes
Chip,3607,60731,57124,4046,7654,No
Chip,6046,23654,17608,44643,50689,Yes
Online,5045,94026,88980,71762,76808,No
Chip,865,8801,7936,41390,42254,Yes
Swipe,2973,47071,44098,3105,6077,No
Chip,9418,85162,75743,47112,56530,No
Chip,8669,93716,85047,44401,53070,No
Online,6369,23615,17246,2019,8388,No
Online,2135,32843,30708,32954,35089,Yes
Online,9978,19744,9767,36153,46131,No
Chip,1492,27703,26212,16678,18170,No
Online,386,62457,62071,95131,95517,No
Swipe,362,43815,43453,99408,99770,No
Swipe,2461,68710,66249,46843,49304,No
Online,9443,88977,79534,81002,90445,Yes
Swipe,5291,68499,63207,55269,60561,Yes
Chip,9985,36296,26311,47023,57009,Yes
Chip,9998,95098,85100,85010,95008,Yes
Online,3631,47728,44097,90909,94540,Yes
Swipe,6126,17425,11299,47543,53669,Yes
Online,7053,19660,12607,89197,96250,Yes
Swipe,3589,90872,87283,15775,19364,No
Chip,5402,95441,90039,68797,74200,Yes
Online,8448,75832,67383,94266,102715,Yes
Swipe,5175,37628,32453,2572,7747,No
Chip,1753,61105,59351,26608,28361,Yes
Online,6673,90088,83415,2912,9585,Yes
Chip,2786,44523,41736,26180,28967,No
Swipe,2656,76858,74202,37952,40608,No
Swipe,8200,66217,58017,40715,48915,Yes
Online,3540,91260,87720,80558,84098,No
Swipe,607,74002,73395,59346,59952,Yes
Chip,2578,13152,10574,16019,18597,No
Chip,7256,29582,22326,44114,51370,No
Chip,8000,28774,20774,59985,67985,No
Chip,8553,48210,39656,52274,60828,Yes
Swipe,8871,90739,81868,59902,68773,Yes
Online,2330,38841,36511,82696,85026,Yes
Chip,5218,77125,71907,23483,28701,No
Chip,6755,63452,56698,36797,43552,Yes
Online,15,49330,49314,55674,55690,Yes
Swipe,1477,38299,36822,47754,49231,No
Online,6274,43504,37231,9666,15940,No
Online,6624,16579,9956,8212,14835,No
Chip,5213,42338,37125,24036,29249,Yes
Chip,129,95394,95265,77564,77693,No
Online,3699,37127,33429,45628,49326,Yes
Chip,7842,48495,40654,25406,33247,No
Swipe,5501,5884,383,74983,80484,No
Online,9175,88445,79270,83230,92405,Yes
Online,1983,25701,23718,31902,33885,Yes
Online,1787,68712,66925,98196,99983,Yes
Swipe,5742,80809,75067,54244,59986,No
Online,5999,54951,48952,90844,96843,No
Swipe,1232,53260,52028,15181,16413,No
Online,8036,65167,57131,69959,77995,No
Swipe,9670,99389,89719,86165,95835,Yes
Swipe,5700,99848,94148,18582,24282,Yes
Online,3447,13576,10129,88550,91997,Yes
Online,6150,98204,92055,44073,50223,Yes
Chip,7711,98792,91081,90299,98010,Yes
Online,2354,76944,74590,67334,69687,Yes
Chip,6754,79333,72579,40175,46929,No
Swipe,9993,56575,46582,97001,106994,Yes
Chip,8073,49042,40970,31434,39507,Yes
Chip,8711,53926,45215,84055,92766,Yes
Swipe,2437,8978,6542,51709,54146,Yes
Online,569,7822,7253,71194,71764,Yes
Online,914,36437,35523,32280,33193,Yes
Chip,3147,46273,43127,88488,91634,No
Online,1299,98379,97080,38232,39532,Yes
Chip,2145,89975,87830,43094,45238,No
Online,3299,98462,95164,48311,51610,No
Online,9245,55748,46502,65344,74589,Yes
Online,2178,89970,87792,49666,51844,No
Chip,4841,88525,83684,64987,69827,No
Swipe,5269,54667,49399,34037,39306,No
Swipe,5425,70207,64782,3556,8981,No
Online,4386,67146,62760,5757,10144,Yes
Swipe,5153,27473,22321,82524,87676,No
Online,2801,34194,31393,13265,16065,Yes
Chip,5675,39359,33685,29455,35130,Yes
Chip,5585,50640,45054,64514,70100,No
Swipe,7434,85304,77869,7838,15273,No
Swipe,5735,98735,93000,97893,103628,Yes
Chip,443,14397,13954,59739,60182,No
Swipe,7777,91362,83585,33209,40985,Yes
Online,1762,35362,33600,80419,82181,No
Online,2093,15395,13303,78702,80794,Yes
Chip,2039,98703,96663,64781,66820,Yes
Online,6007,36213,30206,97425,103432,No
Swipe,3145,68434,65289,63692,66836,Yes
Online,6091,75998,69907,69740,75830,Yes
Chip,6563,66092,59530,82989,89552,No
Chip,1457,98124,96667,77036,78493,No
Online,6739,27643,20904,31473,38213,No
Swipe,9818,81139,71321,97127,106945,No
Chip,2413,58012,55598,2493,4906,Yes
Swipe,2182,49446,47264,7701,9883,No
Online,669,85736,85067,87032,87701,No
Swipe,303,42465,42161,38045,38348,Yes
Chip,5676,82609,76933,56531,62207,Yes
Swipe,6354,72834,66479,50169,56524,Yes
Swipe,5520,18721,13200,21353,26874,Yes
Chip,10000,91378,81379,66918,76917,No
Online,6493,23507,17013,91585,98078,Yes
Online,6770,29348,22578,34618,41388,Yes
Chip,9114,66869,57756,44669,53783,No
Swipe,6398,93660,87262,23301,29699,Yes
Swipe,4300,79656,75356,76639,80939,No
Swipe,7799,99807,92008,72362,80161,No
Chip,7043,69907,62865,48693,55735,No
Chip,3736,28933,25197,11948,15684,Yes
Swipe,8898,44805,35907,61701,70599,No
Swipe,2253,49758,47505,77595,79848,Yes
Swipe,8799,60160,51361,95507,104306,Yes
Online,6765,13129,6364,84728,91493,Yes
Swipe,1588,51601,50013,86637,88226,No
Swipe,6556,71026,64470,1940,8496,No
Online,7677,93317,85640,78862,86538,Yes
Chip,2109,22669,20560,66643,68752,No
Chip,2828,73084,70257,48705,51532,No
Swipe,8849,54253,45404,63929,72778,No
Swipe,8667,83905,75239,14602,23268,No
Online,2002,8047,6045,21300,23301,Yes
Chip,7704,14062,6359,57964,65667,Yes
Online,9694,47820,38126,3270,12965,Yes
Online,8717,88176,79459,98244,106961,Yes
Online,8314,29697,21382,26527,34841,Yes
Online,578,49185,48607,85055,85633,No
Chip,3549,31926,28377,97049,100598,Yes
Swipe,2162,66155,63993,18362,20524,Yes
Chip,8590,21739,13149,2434,11024,Yes
Swipe,733,32587,31854,40000,40733,Yes
Online,1922,93247,91325,64062,65985,Yes
Online,8145,70629,62485,37206,45351,No
Swipe,3514,99927,96414,93470,96983,No
Online,7025,83026,76001,87611,94635,Yes
Swipe,6686,8196,1510,21871,28557,No
Online,6059,30025,23965,9247,15307,Yes
Chip,5592,96371,90779,18140,23732,Yes
Chip,5408,77875,72466,85209,90617,No
Online,2545,44664,42119,11396,13941,Yes
Online,8221,8904,683,75698,83920,No
Chip,2766,92605,89838,83001,85767,Yes
Chip,9929,35346,25417,18397,28326,Yes
Chip,4395,80163,75767,14243,18638,Yes
Swipe,3630,76688,73057,31755,35386,Yes
Swipe,2320,71824,69504,49833,52153,Yes
Online,5578,64955,59376,67827,73405,Yes
Swipe,6837,69063,62227,78278,85114,Yes
Chip,5833,64121,58289,91934,97767,Yes
Online,295,22614,22319,27017,27312,No
Swipe,6105,69310,63205,71501,77606,No
Online,9532,91157,81624,59102,68634,No
Swipe,9481,48248,38766,91055,100537,Yes
Swipe,4561,97300,92739,99093,103654,No
Chip,2821,12393,9572,11179,14000,No
Chip,7034,89484,82450,82889,89923,Yes
Online,1436,96725,95289,33235,34672,No
Online,4668,94815,90147,14171,18840,Yes
Online,7209,46398,39189,15924,23133,No
Chip,9387,73804,64418,64538,73925,No
Online,4287,59656,55369,7918,12204,No
Chip,1104,22455,21351,66841,67945,No
Swipe,1858,20341,18483,45988,47845,Yes
Online,6882,83299,76418,49569,56451,No
Online,3736,31232,27496,5624,9360,No
Swipe,9702,29788,20086,55114,64816,Yes
Chip,1992,31344,29352,45682,47673,Yes
Swipe,6464,37440,30976,43738,50203,No
Swipe,1532,39210,37679,57838,59370,No
Online,7333,51346,44013,99633,106967,Yes
Swipe,7751,72795,65045,68039,75790,Yes
Swipe,2573,18074,15501,31205,33778,No
Online,6685,66700,60015,14395,21080,No
Swipe,6428,16792,10364,79634,86061,No
Swipe,261,17382,17121,3466,3727,Yes
Chip,8467,78527,70060,74584,83050,Yes
Chip,3586,25951,22365,86420,90005,Yes
Online,5866,98359,92493,23392,29258,No
Online,426,887,461,97890,98315,No
Online,6568,69245,62677,19013,25581,No
Online,3606,32335,28729,78907,82514,No
Chip,3894,37869,33975,22726,26620,Yes
Chip,587,32094,31507,24850,25437,No
Online,6689,94714,88025,27253,33942,No
Online,6365,82803,76438,52476,58841,No
Online,8866,31680,22814,51179,60045,No
Online,6403,36828,30426,31976,38379,Yes
Online,195,69287,69092,12573,12769,Yes
Swipe,3148,79890,76742,52613,55761,Yes
Swipe,2594,32343,29748,22154,24749,No
Online,698,86190,85492,4080,4778,No
Swipe,6195,35314,29119,63190,69384,No
Chip,2206,75009,72803,92977,95183,Yes
Swipe,7306,47146,39839,44503,51809,Yes
Swipe,2825,87471,84646,1209,4034,Yes
Swipe,6310,9926,3616,46421,52731,Yes
Chip,7900,48029,40130,73210,81110,No
Swipe,6518,10645,4126,77118,83637,Yes
Online,9997,37035,27037,25147,35144,Yes
Chip,4730,99162,94432,28642,33372,No
Chip,327,39374,39048,84058,84384,Yes
Swipe,4670,65134,60464,46781,51451,Yes
Swipe,796,36671,35875,61836,62632,No
Chip,9876,75599,65723,5807,15683,Yes
Chip,2054,85241,83187,9918,11971,No
Swipe,4056,30197,26141,52124,56180,Yes
Swipe,5446,19025,13579,32532,37978,No
Swipe,7268,61078,53810,68714,75982,No
Chip,2354,26348,23994,24527,26881,Yes
Online,7904,74750,66846,22586,30490,Yes
Swipe,4859,83748,78889,55311,60170,No
Chip,9770,65186,55417,96507,106277,Yes
Swipe,7968,18965,10997,71026,78994,Yes
Swipe,8327,14995,6669,91317,99643,Yes
Chip,6206,18877,12672,26916,33122,Yes
Chip,2489,99227,96738,59871,62361,Yes
Online,5583,24897,19314,47432,53015,No
Chip,9844,9848,4,31404,41249,No
Swipe,6132,58154,52022,31489,37621,Yes
Online,9174,95523,86348,5238,14413,Yes
Online,3197,19302,16106,27708,30905,No
Swipe,748,52898,52149,22307,23056,Yes
Swipe,1007,1996,990,97414,98420,Yes
Chip,2576,39759,37183,63900,66476,Yes
Swipe,1959,14169,12210,24747,26707,No
Swipe,2286,42056,39770,48518,50804,Yes
Swipe,8654,38749,30095,26425,35079,Yes
Chip,8146,86496,78350,22246,30392,No
Swipe,8356,63386,55030,99189,107545,Yes
Online,2875,92180,89305,355,3230,No
Swipe,3513,46162,42649,93993,97506,Yes
Swipe,5936,39943,34006,48887,54823,No
Chip,5464,49037,43573,61552,67015,Yes
Swipe,7806,11101,3295,72039,79845,No
Swipe,3934,82300,78366,65521,69455,No
Swipe,2657,26039,23383,47363,50019,Yes
Chip,4073,30892,26818,97290,101363,No
Chip,1487,3516,2029,54556,56043,No
Online,9910,28727,18817,88391,98301,No
Swipe,6151,54350,48199,77898,84049,No
Swipe,4973,84248,79275,98665,103638,No
Chip,1736,13904,12169,2263,3998,Yes
Chip,7568,79839,72272,99911,107478,No
Chip,5347,81741,76395,98735,104082,No
Online,1892,83858,81966,69980,71871,No
Chip,1832,24466,22635,1299,3130,Yes
Online,3314,74557,71243,41607,44920,Yes
Online,499,33614,33116,75910,76409,Yes
Swipe,3842,38431,34588,23689,27531,No
Swipe,386,42271,41885,75749,76135,Yes
Online,7732,96851,89119,8889,16621,No
Swipe,7887,24134,16247,39739,47626,Yes
Online,5523,68051,62528,88799,94323,Yes
Swipe,5161,73526,68365,99242,104403,Yes
Chip,6847,19179,12332,70854,77701,Yes
Swipe,7949,56565,48616,40316,48265,Yes
Online,8459,46945,38486,65496,73955,Yes
Chip,2843,72960,70117,73336,76179,Yes
Chip,8706,59378,50672,22301,31007,No
Swipe,2552,40447,37895,38839,41391,No
Swipe,3828,16043,12215,4285,8113,Yes
Swipe,4613,23379,18766,19181,23794,Yes
Online,5716,76636,70920,12353,18069,No
Swipe,9974,16205,6231,18859,28832,Yes
Chip,3408,86404,82996,89666,93074,No
Online,2533,10838,8305,44767,47299,No
Swipe,6380,22320,15940,26771,33151,Yes
Swipe,6292,47492,41200,55003,61294,No
Online,6632,64367,57735,36829,43461,Yes
Online,3275,43662,40386,37454,40729,Yes
Online,8909,31487,22578,76144,85052,No
Swipe,7309,8264,955,47659,54968,Yes
Chip,5795,30697,24902,35305,41101,Yes
Chip,9327,54949,45621,10503,19830,Yes
Chip,4856,28605,23748,19496,24352,No
Swipe,1655,94376,92721,26334,27989,No
Swipe,8034,77453,69418,26762,34796,No
Online,1898,32215,30317,40567,42465,No
Chip,387,53245,52859,89552,89939,Yes
Swipe,3972,71643,67671,36336,40307,No
Chip,2188,98879,96691,10777,12964,No
Chip,9285,67422,58136,15519,24805,Yes
Chip,6949,7943,994,29813,36762,Yes
Chip,1947,43428,41481,49358,51305,No
Chip,9726,85983,76258,11419,21145,Yes
Swipe,8175,65181,57006,40126,48301,Yes
Chip,6101,26224,20123,55724,61825,Yes
Chip,2880,54996,52117,71175,74055,No
Online,2374,40594,38220,31062,33436,No
Online,3509,8835,5326,13505,17014,No
Online,4655,36090,31435,11352,16007,No
Chip,7065,10222,3158,12981,20045,Yes
Online,2507,19272,16764,27662,30169,Yes
Swipe,9801,57340,47539,1086,10887,Yes
Chip,7110,23291,16181,79218,86328,No
Chip,3883,76736,72853,98621,102504,Yes
Chip,9223,59933,50710,99717,108940,Yes
Swipe,8060,67367,59307,29748,37808,No
Chip,797,50042,49245,68809,69605,Yes
Swipe,1364,63051,61687,49459,50823,Yes
Online,5502,59755,54252,9715,15217,Yes
Online,1984,68504,66520,31976,33961,Yes
Chip,6303,91323,85020,67522,73825,Yes
Chip,6094,60800,54706,89735,95829,No
Swipe,5236,94720,89484,31538,36775,No
Online,6373,88158,81785,75059,81432,Yes
Online,6698,8299,1601,55133,61831,No
Swipe,4354,81931,77577,92970,97324,Yes
Chip,9074,36318,27245,21499,30572,No
Online,1231,23829,22598,62021,63252,Yes
Swipe,5889,79749,73860,5604,11493,No
Online,3173,42405,39231,17435,20608,No
Online,6859,42645,35786,63654,70513,No
Chip,6960,44257,37298,74345,81305,No
Online,698,39522,38824,7502,8200,Yes
Online,352,57244,56891,96502,96855,Yes
Swipe,5700,35675,29975,81090,86789,Yes
Chip,3798,73556,69758,48822,52620,No
Chip,342,98740,98398,66213,66554,No
Online,8025,53335,45310,15883,23908,Yes
Online,2426,59216,56790,23213,25638,Yes
Chip,9107,59054,49947,14159,23266,Yes
Online,4088,81853,77765,15516,19604,Yes
Swipe,5643,9139,3496,66246,71889,No
Chip,7915,19772,11857,76804,84720,No
Chip,3276,73583,70307,637,3914,Yes
Online,1140,16836,15696,14591,15731,No
Swipe,8392,67810,59418,69698,78091,Yes
Chip,7219,63705,56486,90977,98196,Yes
Swipe,891,74273,73382,93998,94889,Yes
Chip,7981,39233,31252,8149,16131,Yes
Chip,8916,82901,73985,76335,85252,Yes
Online,1857,68808,66951,12624,14480,Yes
Online,8882,98838,89956,61110,69992,Yes
Online,8784,10743,1959,62416,71200,Yes
Swipe,7994,53916,45923,22593,30587,Yes
Chip,1188,39454,38266,51384,52572,No
Online,5820,18133,12313,70222,76041,No
Online,4484,18829,14345,71691,76175,Yes
Chip,2272,73621,71349,27811,30083,Yes
Chip,9351,58233,48881,83096,92447,No
Chip,3062,58033,54971,57045,60107,Yes
Swipe,472,23944,23472,80948,81420,Yes
Swipe,3516,97578,94062,96797,100313,No
Chip,7086,55121,48035,38323,45408,No
Swipe,8614,50777,42163,2907,11522,Yes
Chip,6261,41654,35394,29806,36067,No
Swipe,2565,46596,44032,3526,6090,No
Swipe,586,69244,68658,36706,37292,No
Online,6021,27747,21726,48712,54733,No
Chip,6145,69140,62995,14843,20988,Yes
Swipe,4427,75546,71118,95590,100018,Yes
Swipe,9477,45874,36397,91194,100670,Yes
Chip,4081,24271,20190,25464,29545,No
Chip,8993,16042,7049,91615,100608,No
Swipe,7822,21001,13179,53015,60836,Yes
Swipe,4503,26252,21748,86443,90946,Yes
Swipe,5210,40001,34791,17111,22321,No
Online,7711,17098,9386,64897,72609,Yes
Chip,5619,86670,81051,30171,35790,No
Online,3777,7651,3873,74920,78697,No
Chip,8666,70127,61461,43502,52168,No
Swipe,3054,46882,43828,50172,53226,Yes
Swipe,8154,78067,69913,15248,23402,Yes
Online,3792,57987,54195,30972,34764,No
Online,8056,75498,67443,30038,38094,No
Online,8515,53091,44576,87230,95745,Yes
Swipe,5318,32135,26817,95304,100622,No
Online,1657,74690,73033,52291,53948,No
Online,4074,66919,62845,2878,6952,No
Chip,1362,45304,43942,39831,41193,No
Chip,3976,84140,80164,24558,28534,Yes
Online,4287,21771,17484,14663,18950,No
Chip,4768,41362,36595,20611,25378,Yes
Online,674,82338,81663,31576,32250,Yes
Online,953,74074,73121,86519,87472,Yes
Chip,6037,21988,15952,79866,85902,Yes
Online,120,41301,41181,41274,41394,Yes
Chip,4621,70513,65892,31860,36481,No
Online,6777,51690,44913,19697,26473,No
