Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After
Swipe,1991,14011,12020,26217,28209
Online,2271,30383,28112,60706,62976
Chip,6046,23654,17608,44643,50689
Chip,865,8801,7936,41390,42254
Online,2135,32843,30708,32954,35089
Online,9443,88977,79534,81002,90445
Swipe,5291,68499,63207,55269,60561
Chip,9985,36296,26311,47023,57009
Chip,9998,95098,85100,85010,95008
Online,3631,47728,44097,90909,94540
Swipe,6126,17425,11299,47543,53669
Online,7053,19660,12607,89197,96250
Chip,5402,95441,90039,68797,74200
Online,8448,75832,67383,94266,102715
Chip,1753,61105,59351,26608,28361
Online,6673,90088,83415,2912,9585
Swipe,8200,66217,58017,40715,48915
Swipe,607,74002,73395,59346,59952
Chip,8553,48210,39656,52274,60828
Swipe,8871,90739,81868,59902,68773
Online,2330,38841,36511,82696,85026
Chip,6755,63452,56698,36797,43552
Online,15,49330,49314,55674,55690
Chip,5213,42338,37125,24036,29249
Online,3699,37127,33429,45628,49326
Online,9175,88445,79270,83230,92405
Online,1983,25701,23718,31902,33885
Online,1787,68712,66925,98196,99983
Swipe,9670,99389,89719,86165,95835
Swipe,5700,99848,94148,18582,24282
Online,3447,13576,10129,88550,91997
Online,6150,98204,92055,44073,50223
Chip,7711,98792,91081,90299,98010
Online,2354,76944,74590,67334,69687
Swipe,9993,56575,46582,97001,106994
Chip,8073,49042,40970,31434,39507
Chip,8711,53926,45215,84055,92766
Swipe,2437,8978,6542,51709,54146
Online,569,7822,7253,71194,71764
Online,914,36437,35523,32280,33193
Online,1299,98379,97080,38232,39532
Online,9245,55748,46502,65344,74589
Online,4386,67146,62760,5757,10144
Online,2801,34194,31393,13265,16065
Chip,5675,39359,33685,29455,35130
Swipe,5735,98735,93000,97893,103628
Swipe,7777,91362,83585,33209,40985
Online,2093,15395,13303,78702,80794
Chip,2039,98703,96663,64781,66820
Swipe,3145,68434,65289,63692,66836
Online,6091,75998,69907,69740,75830
Chip,2413,58012,55598,2493,4906
Swipe,303,42465,42161,38045,38348
Chip,5676,82609,76933,56531,62207
Swipe,6354,72834,66479,50169,56524
Swipe,5520,18721,13200,21353,26874
Online,6493,23507,17013,91585,98078
Online,6770,29348,22578,34618,41388
Swipe,6398,93660,87262,23301,29699
Chip,3736,28933,25197,11948,15684
Swipe,2253,49758,47505,77595,79848
Swipe,8799,60160,51361,95507,104306
Online,6765,13129,6364,84728,91493
Online,7677,93317,85640,78862,86538
Online,2002,8047,6045,21300,23301
Chip,7704,14062,6359,57964,65667
Online,9694,47820,38126,3270,12965
Online,8717,88176,79459,98244,106961
Online,8314,29697,21382,26527,34841
Chip,3549,31926,28377,97049,100598
Swipe,2162,66155,63993,18362,20524
Chip,8590,21739,13149,2434,11024
Swipe,733,32587,31854,40000,40733
Online,1922,93247,91325,64062,65985
Online,7025,83026,76001,87611,94635
Online,6059,30025,23965,9247,15307
Chip,5592,96371,90779,18140,23732
Online,2545,44664,42119,11396,13941
Chip,2766,92605,89838,83001,85767
Chip,9929,35346,25417,18397,28326
Chip,4395,80163,75767,14243,18638
Swipe,3630,76688,73057,31755,35386
Swipe,2320,71824,69504,49833,52153
Online,5578,64955,59376,67827,73405
Swipe,6837,69063,62227,78278,85114
Chip,5833,64121,58289,91934,97767
Swipe,9481,48248,38766,91055,100537
Chip,7034,89484,82450,82889,89923
Online,4668,94815,90147,14171,18840
Swipe,1858,20341,18483,45988,47845
Swipe,9702,29788,20086,55114,64816
Chip,1992,31344,29352,45682,47673
Online,7333,51346,44013,99633,106967
Swipe,7751,72795,65045,68039,75790
Swipe,261,17382,17121,3466,3727
Chip,8467,78527,70060,74584,83050
Chip,3586,25951,22365,86420,90005
Chip,3894,37869,33975,22726,26620
Online,6403,36828,30426,31976,38379
Online,195,69287,69092,12573,12769
Swipe,3148,79890,76742,52613,55761
Chip,2206,75009,72803,92977,95183
Swipe,7306,47146,39839,44503,51809
Swipe,2825,87471,84646,1209,4034
Swipe,6310,9926,3616,46421,52731
Swipe,6518,10645,4126,77118,83637
Online,9997,37035,27037,25147,35144
Chip,327,39374,39048,84058,84384
Swipe,4670,65134,60464,46781,51451
Chip,9876,75599,65723,5807,15683
Swipe,4056,30197,26141,52124,56180
Chip,2354,26348,23994,24527,26881
Online,7904,74750,66846,22586,30490
Chip,9770,65186,55417,96507,106277
Swipe,7968,18965,10997,71026,78994
Swipe,8327,14995,6669,91317,99643
Chip,6206,18877,12672,26916,33122
Chip,2489,99227,96738,59871,62361
Swipe,6132,58154,52022,31489,37621
Online,9174,95523,86348,5238,14413
Swipe,748,52898,52149,22307,23056
Swipe,1007,1996,990,97414,98420
Chip,2576,39759,37183,63900,66476
Swipe,2286,42056,39770,48518,50804
Swipe,8654,38749,30095,26425,35079
Swipe,8356,63386,55030,99189,107545
Swipe,3513,46162,42649,93993,97506
Chip,5464,49037,43573,61552,67015
Swipe,2657,26039,23383,47363,50019
Chip,1736,13904,12169,2263,3998
