Transaction Type,Transaction Amount,Sender Balance Before,Sender Balance After,Recipient Balance Before,Recipient Balance After
Online,7421,21162,13741,13502,20923
Chip,5864,46330,40465,75984,81848
Swipe,6215,72221,66006,16067,22282
Online,7359,69296,61937,73194,80553
Chip,8756,57984,49227,25754,34510
Swipe,2211,79908,77696,30227,32438
Online,1689,32645,30956,5885,7574
Online,6621,53662,47041,85329,91950
Chip,6210,67950,61740,39390,45600
Chip,6109,13044,6934,27591,33701
Online,4339,63552,59213,85445,89784
Online,1212,33650,32438,88359,89571
Chip,1417,68648,67231,63627,65043
Swipe,2347,40546,38199,5045,7392
Chip,9732,83818,74086,51806,61538
Chip,3370,76865,73495,15672,19043
Chip,3048,5166,2118,7693,10741
Swipe,2522,82832,80309,90079,92602
Chip,8377,27099,18721,6925,15302
Swipe,1549,13827,12277,48352,49901
Swipe,1548,92999,91451,43446,44994
Chip,1390,2412,1022,22272,23661
Chip,5791,29256,23465,13496,19287
Online,3568,25606,22039,36166,39734
Swipe,8884,89161,80277,90946,99830
Chip,4531,32595,28064,72901,77431
Chip,8556,62727,54170,84899,93455
Swipe,1765,9982,8217,39721,41486
Chip,4401,60317,55915,6383,10784
Online,4504,60027,55523,77885,82389
Online,3719,75044,71325,67909,71629
Swipe,985,66279,65295,64418,65403
Swipe,1061,96154,95093,10209,11270
Chip,5924,14558,8634,16673,22597
Swipe,6176,32930,26754,1499,7674
Swipe,7398,52703,45305,17246,24645
Chip,9349,14658,5309,73848,83197
Swipe,7270,72309,65039,2312,9582
Swipe,7051,49266,42215,24459,31510
Chip,4139,36032,31893,42414,46552
Chip,2952,16172,13220,11126,14078
Online,26,70041,70015,80750,80776
Online,821,32776,31955,21731,22552
Chip,7582,99654,92073,24538,32119
Online,5377,45863,40486,16328,21705
Chip,8935,36892,27957,70042,78977
Online,7785,24720,16935,40227,48012
Online,1325,29526,28201,3076,4401
Online,5806,35393,29587,31092,36898
Chip,3992,74755,70763,31350,35341
Swipe,6459,48925,42466,45317,51776
Swipe,9736,73299,63563,96064,105800
Chip,8886,52842,43956,72827,81713
Swipe,2034,46246,44212,93199,95233
Online,8870,12227,3357,38996,47866
Swipe,7499,39729,32230,19156,26655
Chip,5148,15541,10393,19297,24444
Swipe,9554,93513,83959,39314,48868
Online,1903,85710,83807,3621,5524
Chip,1090,35009,33919,63711,64801
Online,884,94520,93635,80911,81796
Online,391,71352,70962,67039,67430
Online,858,74181,73324,324,1182
Chip,8023,23114,15091,37056,45079
Swipe,4212,87935,83722,61198,65410
Chip,5007,15585,10579,73369,78376
Chip,9137,98792,89655,27149,36286
Chip,4553,26389,21836,64592,69145
Swipe,8543,63424,54881,18003,26547
Chip,3840,44350,40510,97130,100970
Online,9770,44831,35061,6118,15888
Online,1474,66827,65353,97191,98665
Chip,2999,62554,59555,86855,89854
Online,1915,86864,84949,85330,87245
Online,5186,28179,22993,68243,73429
Swipe,8615,51667,43052,40298,48913
Chip,3392,76318,72925,58626,62018
Swipe,1543,72251,70708,44870,46413
Online,8592,46821,38229,25659,34251
Swipe,6763,46132,39369,96110,102872
Swipe,7721,42680,34958,53308,61030
Chip,1319,36681,35362,92122,93441
Chip,3607,60731,57124,4046,7654
Online,5045,94026,88980,71762,76808
Swipe,2973,47071,44098,3105,6077
Chip,9418,85162,75743,47112,56530
Chip,8669,93716,85047,44401,53070
Online,6369,23615,17246,2019,8388
Online,9978,19744,9767,36153,46131
Chip,1492,27703,26212,16678,18170
Online,386,62457,62071,95131,95517
Swipe,362,43815,43453,99408,99770
Swipe,2461,68710,66249,46843,49304
Swipe,3589,90872,87283,15775,19364
Swipe,5175,37628,32453,2572,7747
Chip,2786,44523,41736,26180,28967
Swipe,2656,76858,74202,37952,40608
Online,3540,91260,87720,80558,84098
Chip,2578,13152,10574,16019,18597
Chip,7256,29582,22326,44114,51370
Chip,8000,28774,20774,59985,67985
Chip,5218,77125,71907,23483,28701
Swipe,1477,38299,36822,47754,49231
Online,6274,43504,37231,9666,15940
Online,6624,16579,9956,8212,14835
Chip,129,95394,95265,77564,77693
Chip,7842,48495,40654,25406,33247
Swipe,5501,5884,383,74983,80484
Swipe,5742,80809,75067,54244,59986
Online,5999,54951,48952,90844,96843
Swipe,1232,53260,52028,15181,16413
Online,8036,65167,57131,69959,77995
Chip,6754,79333,72579,40175,46929
Chip,3147,46273,43127,88488,91634
Chip,2145,89975,87830,43094,45238
Online,3299,98462,95164,48311,51610
Online,2178,89970,87792,49666,51844
Chip,4841,88525,83684,64987,69827
Swipe,5269,54667,49399,34037,39306
Swipe,5425,70207,64782,3556,8981
Swipe,5153,27473,22321,82524,87676
Chip,5585,50640,45054,64514,70100
Swipe,7434,85304,77869,7838,15273
Chip,443,14397,13954,59739,60182
Online,1762,35362,33600,80419,82181
Online,6007,36213,30206,97425,103432
Chip,6563,66092,59530,82989,89552
Chip,1457,98124,96667,77036,78493
Online,6739,27643,20904,31473,38213
Swipe,9818,81139,71321,97127,106945
Swipe,2182,49446,47264,7701,9883
Online,669,85736,85067,87032,87701
Chip,10000,91378,81379,66918,76917
Chip,9114,66869,57756,44669,53783
Swipe,4300,79656,75356,76639,80939
Swipe,7799,99807,92008,72362,80161
Chip,7043,69907,62865,48693,55735
Swipe,8898,44805,35907,61701,70599
Swipe,1588,51601,50013,86637,88226
Swipe,6556,71026,64470,1940,8496
Chip,2109,22669,20560,66643,68752
Chip,2828,73084,70257,48705,51532
Swipe,8849,54253,45404,63929,72778
Swipe,8667,83905,75239,14602,23268
Online,578,49185,48607,85055,85633
Online,8145,70629,62485,37206,45351
Swipe,3514,99927,96414,93470,96983
Swipe,6686,8196,1510,21871,28557
Chip,5408,77875,72466,85209,90617
Online,8221,8904,683,75698,83920
Online,295,22614,22319,27017,27312
Swipe,6105,69310,63205,71501,77606
Online,9532,91157,81624,59102,68634
Swipe,4561,97300,92739,99093,103654
Chip,2821,12393,9572,11179,14000
Online,1436,96725,95289,33235,34672
Online,7209,46398,39189,15924,23133
Chip,9387,73804,64418,64538,73925
Online,4287,59656,55369,7918,12204
Chip,1104,22455,21351,66841,67945
Online,6882,83299,76418,49569,56451
Online,3736,31232,27496,5624,9360
Swipe,6464,37440,30976,43738,50203
Swipe,1532,39210,37679,57838,59370
Swipe,2573,18074,15501,31205,33778
Online,6685,66700,60015,14395,21080
Swipe,6428,16792,10364,79634,86061
Online,5866,98359,92493,23392,29258
Online,426,887,461,97890,98315
Online,6568,69245,62677,19013,25581
Online,3606,32335,28729,78907,82514
Chip,587,32094,31507,24850,25437
Online,6689,94714,88025,27253,33942
Online,6365,82803,76438,52476,58841
Online,8866,31680,22814,51179,60045
